上海银行@ABC@2022-01-17@ABC@现在不抛，等着吃套[大笑][大笑]
上海银行@ABC@2022-01-17@ABC@主力不砸，谁会卖啊
上海银行@ABC@2022-01-16@ABC@601229可上攻10元，中线看好。
上海银行@ABC@2022-01-17@ABC@咋滴案，今天比银行指数还强点的呢，这是要做领头羊？[加油]
上海银行@ABC@2022-01-17@ABC@年报大概1.55元
上海银行@ABC@2022-01-17@ABC@这是我买过最服气的，跟死了一样，倒是动两下啊。
上海银行@ABC@2022-01-15@ABC@今年上银分红大概0.45元。比赛道股好。
上海银行@ABC@2022-01-16@ABC@上海银行本周融资净买入4857.9万元，居银行板块第三
上海银行@ABC@2022-01-14@ABC@7.31块没有效突破，只好下来
上海银行@ABC@2022-01-14@ABC@我是不是又要被套了？元月让人怀疑人生
上海银行@ABC@2022-01-15@ABC@随你你怎么跌，不到7.5，你大爷陪你到死，20万小钱，等你，随你怎么跌！我话放这
上海银行@ABC@2022-01-16@ABC@沪股通连续3周净买入上海银行 累计净买入2.13亿元
上海银行@ABC@2022-01-15@ABC@涨了好几天，一天跌回去
上海银行@ABC@2022-01-15@ABC@到现在也没个快报，估计增长又是很丢人吧[捂脸]，真是奇了怪，好赖是魔都的银行，挣
上海银行@ABC@2022-01-15@ABC@$上海银行(SH601229)$会跌到农业银行那样子
上海银行@ABC@2022-01-14@ABC@$平安银行(SZ000001)$$上海银行(SH601229)$今天一看银行都跌
上海银行@ABC@2022-01-15@ABC@散户不割肉，机构怎么赚钱？买上银赔钱就是被那些韭菜害的！赚钱卖出的，都是替留下的
上海银行@ABC@2022-01-14@ABC@明天肯定不涨不跌，要是猜错，此生不再看股票一眼。[大笑]
上海银行@ABC@2022-01-15@ABC@$上海银行(SH601229)$突然崩塌
上海银行@ABC@2022-01-15@ABC@上海银行01月14日被沪股通减持123.8万股
上海银行@ABC@2022-01-15@ABC@可以买点了
上海银行@ABC@2022-01-15@ABC@为啥不同地方看到的k线不一样?
上海银行@ABC@2022-01-15@ABC@上海银行：融资净买入2140.79万元，融资余额8.47亿元（01-14）
上海银行@ABC@2022-01-14@ABC@一天回到解放前
上海银行@ABC@2022-01-14@ABC@假银行
上海银行@ABC@2021-12-31@ABC@前低7.07黄金坑6.66，钻石坑5.99，还有一个非常十分惊喜的
上海银行@ABC@2022-01-14@ABC@都在跌，上午加的仓。如果等到下午，可能给吓住了。股市就是这样，总能给你惊喜，让你
上海银行@ABC@2022-01-14@ABC@老乡别走
上海银行@ABC@2022-01-14@ABC@大盘下跌有缺口，上海银行明天下跌继续[大笑][大笑]
上海银行@ABC@2022-01-14@ABC@上海银行，7.13下等你[大笑][大笑]
上海银行@ABC@2022-01-14@ABC@主力扣扣嗖嗖的最多赚点利息钱，业绩肯定不咋滴
上海银行@ABC@2022-01-14@ABC@买这股的还不如存余额宝S
上海银行@ABC@2022-01-14@ABC@又是一阵狂风暴雨！都不易啊。
上海银行@ABC@2022-01-14@ABC@不可能再回到7.13，这次银行股行情跟它一毛钱关系没有最多到7.19还怕啥
上海银行@ABC@2022-01-14@ABC@谁进谁被套！别指望此股挣钱！
上海银行@ABC@2022-01-14@ABC@开心了三天，今天难受一天，还赚了两天。哈哈
