长沙银行@ABC@2022-01-14@ABC@看了基本面据，感觉有戏，坚定拿住。
长沙银行@ABC@2022-01-14@ABC@楼下长沙银行，每天进进出出人很多，业务红火，逢低买入
长沙银行@ABC@2022-01-14@ABC@反正干就对了，重仓空进去
长沙银行@ABC@2022-01-14@ABC@长沙银行一批原始股等着减持套现，谁会去拉升啊？
长沙银行@ABC@2022-01-14@ABC@8块21收盘那天己与长沙犬行再见。祝各位好运
长沙银行@ABC@2022-01-14@ABC@尾盘801有加30000股
长沙银行@ABC@2022-01-13@ABC@孔乙己的投资
长沙银行@ABC@2022-01-14@ABC@早盘清了，快跑
长沙银行@ABC@2022-01-14@ABC@好焦灼啊
长沙银行@ABC@2022-01-14@ABC@长傻除了割韭菜。到目前为止圈的钱比收割韭菜炮灰的钱还多。难怪股票流拍没人要
长沙银行@ABC@2022-01-14@ABC@收盘八元以下
长沙银行@ABC@2022-01-14@ABC@今天星期五，不忙，肯定没好事，等着
长沙银行@ABC@2022-01-14@ABC@还在调整中，继续观望
长沙银行@ABC@2022-01-14@ABC@买这股也没涨几个点，也跌不了多少，年报1元6左右的业绩，盘子也不大，今年还可能送
长沙银行@ABC@2022-01-14@ABC@803有加20000股，成交
长沙银行@ABC@2021-11-03@ABC@601577:长沙银行股份有限公司关于股东股份将被司法变卖的提示性公告
长沙银行@ABC@2022-01-14@ABC@$长沙银行(SH601577)$买入不慌，对标杭银。周末上业绩预报！
长沙银行@ABC@2022-01-14@ABC@下跌趋势中，等待
长沙银行@ABC@2022-01-14@ABC@高价增发低价卖，机构都被收割。韭菜炮灰算个鸟
长沙银行@ABC@2022-01-14@ABC@可以了少量买点
长沙银行@ABC@2022-01-14@ABC@长傻里面有一群衰仔。但是股价还有一个技术反抽动作。这种箱体还得持续几个月
长沙银行@ABC@2022-01-12@ABC@银行业整体业绩趋于改善，我赌长沙银行还要涨
长沙银行@ABC@2022-01-14@ABC@这股专治硬伤，智商不够钱来凑
长沙银行@ABC@2022-01-14@ABC@继续调整，银行股需要更多的耐心和时间，追逐热点容易，坚守才难！
长沙银行@ABC@2022-01-14@ABC@长行加油，今年政策空间很足
长沙银行@ABC@2022-01-14@ABC@金融管控降杠杆基本到位了，银行需要价值回归
长沙银行@ABC@2022-01-14@ABC@正常调整，准备做多
长沙银行@ABC@2022-01-14@ABC@看看这两天的大盘，横总比跌好吧
长沙银行@ABC@2022-01-14@ABC@已经8块了，至少反弹到10块
