光大银行@ABC@2021-12-31@ABC@明年光大银行转债强制转股可能性大(正股有大幅上涨30~50%可能)！！！
光大银行@ABC@2022-01-05@ABC@光大银行01月04日被沪股通减持294.88万股
光大银行@ABC@2022-01-05@ABC@如此横盘，应有鬼妖作崇...
光大银行@ABC@2022-01-05@ABC@体系已经崩溃。准备重建起飞
光大银行@ABC@2022-01-05@ABC@摩根大通：将光大银行(06818.HK)评级下调至中性
光大银行@ABC@2022-01-04@ABC@全世界的股市都是由大资本决定的，归根结底是由富人决定的，可怜的光腚人扪心自问一下
光大银行@ABC@2022-01-05@ABC@三年前，负行长，吓谁咧！
光大银行@ABC@2022-01-03@ABC@希望光大银行今年股价能和净资产相同
光大银行@ABC@2022-01-05@ABC@光大银行：融资净买入550.99万元，融资余额17.69亿元（01-04）
光大银行@ABC@2022-01-05@ABC@短线仍具备反弹动力
光大银行@ABC@2022-01-04@ABC@这董秘是不是公司找来顶骂的
光大银行@ABC@2022-01-04@ABC@光大会不会直接来涨停板那
光大银行@ABC@2022-01-04@ABC@浙商银行高管大额增持，光大银行应该好好学习天天向上！
光大银行@ABC@2022-01-04@ABC@浙商银行高管大额增持！光大银行高管除了FB就是WJ!体现到股价就是一塌糊涂
光大银行@ABC@2022-01-04@ABC@黄金坑中的招行快起飞了，这是光腚人改变穷人命运的最后机会，2022.1.4夜
光大银行@ABC@2022-01-04@ABC@光大银行北京分行推出创业担保贷款  落实“六稳”“六保”
光大银行@ABC@2022-01-04@ABC@辞职3年后仍“落马”！光大银行原副行长张华宇被查 涉嫌严重违法
光大银行@ABC@2021-12-31@ABC@有点壮观
光大银行@ABC@2022-01-04@ABC@光头强！真不强！卖了媳妇！输了娘！
光大银行@ABC@2021-12-27@ABC@烂企业不会因为你买了他，就变得有价值。硕鼠的坑道也不会因为你进去，就变得光明通透
光大银行@ABC@2022-01-04@ABC@全面注册制之中国金融银行业境界无极13小时前赏心悦目全面注制制之中国金融银行业境
光大银行@ABC@2022-01-04@ABC@光大银行 比中国银行还弱, 和农业银行差不多.....
光大银行@ABC@2022-01-04@ABC@装大银行
光大银行@ABC@2022-01-04@ABC@这个垃圾股，谁涨它不。在银行股里，最差的。
光大银行@ABC@2022-01-01@ABC@想不到今年，我连中银行股三个陷井：民生、浦发和光大。民生亏6000元离场，浦发亏
光大银行@ABC@2022-01-04@ABC@不愧是光头强，差点一分不涨！可悲！
光大银行@ABC@2022-01-04@ABC@垃圾光大，银行涨它不动，银行跌它比谁都快，拿了你快一年了……就没见这样的死龟
光大银行@ABC@2022-01-04@ABC@你们买光头强，一分都难赚，哈哈
光大银行@ABC@2022-01-04@ABC@3月26日披露年报，预计10派0.24元。
光大银行@ABC@2022-01-04@ABC@冻住了，上下不得。
光大银行@ABC@2022-01-04@ABC@把昨夜搬砖赚的一万块挂3.32加进去。[叹气]
光大银行@ABC@2022-01-02@ABC@时光回到2017年：招行神谷子发文：泯生目前的状况是困难依旧，由于盈利能力衰退，
光大银行@ABC@2022-01-04@ABC@真的稳，动都不动一下
光大银行@ABC@2022-01-04@ABC@坚决不跟糟行，光旦可以做到！
光大银行@ABC@2022-01-04@ABC@准备横到分红吗？
光大银行@ABC@2022-01-04@ABC@没有一根大阳起不来的
光大银行@ABC@2022-01-04@ABC@昨天晚上几个圈内朋友制定了一个打狗计划
光大银行@ABC@2022-01-04@ABC@上压下托的让谁看呀？此股已没有人愿意买了。就是便宜货现已沦为地摊货啦。
光大银行@ABC@2022-01-04@ABC@今天收32都可以了
光大银行@ABC@2022-01-04@ABC@裸马、狐臭，富人银行叫你俩撑一下。
光大银行@ABC@2021-12-23@ABC@注意中信银行，此股也很有前途。
光大银行@ABC@2022-01-04@ABC@这垃圾货，浪费行情
光大银行@ABC@2022-01-04@ABC@哈哈都涨就你跌
光大银行@ABC@2022-01-04@ABC@光大银行必然有一波大涨行情！只要是，总归是会开花的！
光大银行@ABC@2022-01-04@ABC@一天就玩儿2分钱。
光大银行@ABC@2022-01-04@ABC@稳如泰山，你这个……
光大银行@ABC@2022-01-04@ABC@最后悔的事，把同仁堂卖了买了这个玩意
光大银行@ABC@2022-01-04@ABC@又是上下五千年
光大银行@ABC@2022-01-04@ABC@一看就是阴跌不休的趋势
光大银行@ABC@2021-12-31@ABC@这破玩意儿，气死了
光大银行@ABC@2022-01-04@ABC@要求不高，今天你333收就好！开门不能绿啊
光大银行@ABC@2022-01-04@ABC@利欧股份投资造航母了
光大银行@ABC@2022-01-04@ABC@看来要开门黑啊，垃圾就是垃圾。
光大银行@ABC@2022-01-04@ABC@牛批，天天跌
光大银行@ABC@2022-01-04@ABC@了个巴子
光大银行@ABC@2022-01-04@ABC@新年开市能大涨一分吗？
光大银行@ABC@2022-01-04@ABC@关于光大集团申请金控被受理的事情，受理时间在5月份。按照相关规定，金控集团下属各
光大银行@ABC@2022-01-04@ABC@扛不住了，熬夜搬砖班_努力加仓[梭哈]，穷命
光大银行@ABC@2022-01-04@ABC@宇宙织布机龙头新的一年又要辛勤织布一年
光大银行@ABC@2022-01-03@ABC@估值！1.内在价值应当是0.680.09=7.55元。2.现在的价格是3.32元
光大银行@ABC@2021-12-31@ABC@光大银行，我来了，3.22入坑了，前辈们，这股怎么样？
光大银行@ABC@2022-01-01@ABC@《2022第一贴》林园：“全球各个国家的股市真正有成交量的股票都是很少的，大部分
光大银行@ABC@2022-01-03@ABC@光大银行本周融资净买入1850.74万元，居银行板块第七
光大银行@ABC@2022-01-03@ABC@光大银行本周沪股通持股市值减少1044.4万元，居银行板块第五
光大银行@ABC@2022-01-03@ABC@2022年开始咋走？上？
光大银行@ABC@2021-12-31@ABC@2021年马上结束了，光腚板上钉钉的下跌了11%，光腚人只能自我麻醉说：光腚一年
光大银行@ABC@2022-01-03@ABC@不错
光大银行@ABC@2021-12-31@ABC@我能叫醒一个睡着的人，叫不醒一个装睡的人
光大银行@ABC@2022-01-03@ABC@知道为啥不涨吗，别浪费时间了
光大银行@ABC@2022-01-02@ABC@光大又到底部了，真的是好股票
光大银行@ABC@2022-01-02@ABC@光大估计到七八月份才会启动，大家可以先买点其它的，到时再搞光大
光大银行@ABC@2022-01-01@ABC@特大喜讯
